Training_Load,Sleep_Hours,Heart_Rate,Muscle_Soreness,Stress_Level,Recovery
68.4,5.5,166,3,3,Recovered
64.4,4.8,166,4,4,Overtrained
43,5.2,146,3,4,Recovered
59.6,5.8,152,2,3,Recovered
76.3,5.5,142,2,2,Recovered
70.7,5.2,138,2,2,Recovered
65.9,5.2,126,2,3,Recovered
100,6.5,129,2,2,Recovered
49.2,5.5,124,3,2,Recovered
73.1,6.3,162,2,3,Recovered
52.1,6.7,120,2,2,Recovered
61.2,7.6,120,3,2,Recovered
100,5,139,3,3,Recovered
45.8,7.9,165,3,1,Recovered
65.5,7.2,163,4,3,Recovered
37.5,5,130,3,4,Recovered
39.8,8.2,141,1,1,Recovered
40.5,8.3,142,3,2,Recovered
63.4,4.7,169,4,4,Overtrained
80.6,5.9,168,2,3,Recovered
29.9,7.9,124,3,1,Recovered
65.9,7.7,131,2,1,Recovered
79,5.3,169,3,3,Recovered
23.5,5.4,159,2,3,Recovered
70.8,6,169,3,3,Recovered
34.4,6.6,120,2,2,Recovered
100,7.1,169,4,2,Recovered
36,6.2,167,3,3,Recovered
58.8,6.7,137,3,2,Recovered
58.5,7.5,124,2,3,Recovered
63.4,4.8,133,2,3,Recovered
50.1,5.7,123,3,4,Recovered
43.5,7.5,120,4,2,Recovered
77.1,8.3,162,4,2,Recovered
47.3,6.8,135,3,3,Recovered
82.4,6.7,137,3,3,Recovered
66.6,5,154,3,4,Recovered
47.9,6.4,158,3,3,Recovered
58.9,6.6,144,4,4,Overtrained
65.7,5.7,122,3,2,Recovered
76.3,5.7,123,3,3,Recovered
100,6.1,141,4,3,Recovered
34.4,4.9,128,2,4,Recovered
100,5.9,151,3,3,Recovered
51.3,5.4,122,3,3,Recovered
77.1,6.1,169,1,2,Recovered
90.2,5,136,3,4,Recovered
37.9,8.2,154,3,2,Recovered
53.4,7,127,3,3,Recovered
55.2,7.3,168,3,2,Recovered
62.5,7.8,169,3,3,Recovered
54,6.5,123,4,4,Overtrained
100,4.8,137,4,5,Overtrained
56,6.8,169,3,2,Recovered
68.9,6.9,129,3,3,Recovered
80,7.7,156,3,1,Recovered
31.8,6.4,164,3,2,Recovered
96.7,5.3,126,2,3,Recovered
64.8,5.6,163,3,4,Recovered
36.4,6.2,149,3,2,Recovered
83,7.3,159,2,2,Recovered
71,6.9,132,3,3,Recovered
46.9,6.1,168,3,2,Recovered
49.7,8.6,136,4,2,Recovered
45.8,7.2,159,3,2,Recovered
71.6,5.5,153,3,3,Recovered
68,5,146,4,3,Recovered
18.8,5.4,127,2,2,Recovered
44.4,5.7,151,2,3,Recovered
32,5.2,165,3,3,Recovered
43.2,5.3,156,3,3,Recovered
61.6,5.7,130,2,3,Recovered
77.5,5.5,138,1,3,Recovered
58.8,8.1,155,3,3,Recovered
27.8,5,168,4,3,Recovered
55.5,6.9,126,3,3,Recovered
56.8,6.3,168,3,2,Recovered
71.1,8.6,147,3,2,Recovered
51.5,4.9,168,4,3,Recovered
56,6.1,167,4,3,Recovered
58.3,8.7,144,2,1,Recovered
72.4,8.3,144,2,2,Recovered
57.8,7.9,169,3,3,Recovered
91.3,5.5,120,4,4,Overtrained
38.3,5.3,169,3,3,Recovered
83.3,7.5,155,2,2,Recovered
70.1,8.4,148,2,2,Recovered
58.9,6.8,143,4,3,Recovered
66.2,7,153,2,1,Recovered
47.3,5.8,145,2,3,Recovered
97.6,7.7,169,2,2,Recovered
45.1,5.4,142,2,3,Recovered
68.5,5.8,163,3,2,Recovered
28.3,6.2,155,3,3,Recovered
52,6.7,152,2,3,Recovered
34,5.8,143,3,3,Recovered
24.5,5.2,154,3,4,Recovered
69.9,7.1,151,3,3,Recovered
73.4,6,120,3,2,Recovered
50.4,7,169,2,1,Recovered
34.4,5.2,169,3,3,Recovered
75.7,6.6,155,3,3,Recovered
71.6,6.8,134,4,3,Recovered
40.3,4.8,137,2,4,Recovered
51.2,6,155,2,3,Recovered
72,5.2,169,3,3,Recovered
48.1,4.9,132,3,3,Recovered
43.5,8.6,153,2,2,Recovered
61.9,5.9,164,3,4,Recovered
48.5,7.9,152,4,1,Recovered
42.5,5.7,132,3,4,Recovered
38.4,7.4,135,4,2,Recovered
40.7,7.8,138,2,2,Recovered
63.5,7.1,148,4,2,Recovered
47.7,6.5,167,3,3,Recovered
59.2,6.2,130,4,3,Recovered
83.1,5.9,137,3,3,Recovered
77.6,8.3,169,3,2,Recovered
66.3,8,150,3,2,Recovered
51.8,8.6,135,2,1,Recovered
70.7,5.1,140,3,3,Recovered
73.2,7.5,168,3,2,Recovered
46,8.4,169,3,2,Recovered
66,5.4,125,2,3,Recovered
95,5,160,1,4,Recovered
47,7.8,141,2,2,Recovered
44.7,7.1,155,3,3,Recovered
73.1,8.2,137,3,2,Recovered
37.6,5.2,136,4,3,Recovered
50,7.8,166,3,1,Recovered
47.4,5.4,144,3,3,Recovered
37.5,5.5,169,2,3,Recovered
37.8,5.5,132,1,3,Recovered
46.5,7.9,138,3,2,Recovered
54.6,7.3,164,3,2,Recovered
43.7,6.7,140,3,3,Recovered
50.8,6,155,3,3,Recovered
74.4,8,137,4,3,Recovered
66.1,6.4,147,3,3,Recovered
44.3,8,141,3,2,Recovered
53.5,6.6,131,2,2,Recovered
64.5,6,137,3,4,Recovered
89.2,6.7,142,2,3,Recovered
63.8,6,144,3,2,Recovered
76.2,7.8,146,2,1,Recovered
75.9,6.6,145,3,2,Recovered
35.1,5.5,121,4,4,Overtrained
78.9,8.1,151,4,3,Recovered
77.9,6.1,136,3,3,Recovered
37.6,6.7,162,4,2,Recovered
43.4,8.2,125,3,2,Recovered
54.5,7.3,129,4,2,Recovered
27.3,5.3,135,1,3,Recovered
72.1,8.6,125,2,1,Recovered
61.1,7.1,142,3,2,Recovered
61.5,5.9,139,2,3,Recovered
40.6,5.1,128,3,4,Recovered
99.3,7.9,122,3,1,Recovered
32.2,7.1,144,3,4,Recovered
88.1,6.8,159,3,3,Recovered
82.8,8.2,160,3,2,Recovered
62.9,7.8,128,2,2,Recovered
92.6,5.3,131,3,3,Recovered
24.7,5.9,142,2,3,Recovered
55.2,5.7,139,3,4,Recovered
20.6,7.5,134,4,3,Recovered
43.2,4.7,167,2,3,Recovered
47.4,7,153,3,3,Recovered
55.6,7.6,160,3,2,Recovered
22.9,8,145,3,3,Recovered
23.6,6,120,3,3,Recovered
65.9,7.8,152,3,3,Recovered
59.6,5.1,123,2,3,Recovered
54,8.1,126,2,1,Recovered
58.7,5.1,142,4,5,Overtrained
41.3,6.2,167,4,4,Overtrained
60.8,7.9,137,4,2,Recovered
55.2,5.4,133,2,2,Recovered
45.6,5.7,169,2,3,Recovered
80.5,7.6,141,3,2,Recovered
66.4,7.7,151,1,2,Recovered
44.9,7.4,167,3,2,Recovered
48.9,7.4,156,2,3,Recovered
49.4,6.8,149,2,3,Recovered
63.8,5.8,136,4,3,Recovered
61.2,5.9,142,3,3,Recovered
76.7,5.4,135,3,4,Recovered
67.5,8.4,169,2,2,Recovered
67.6,6.9,138,3,4,Recovered
84.5,6.1,141,4,3,Recovered
36.2,6.3,155,3,3,Recovered
63.3,8.4,145,4,1,Recovered
57.8,5.2,153,2,4,Recovered
61,6.9,146,3,2,Recovered
100,6.7,129,2,3,Recovered
64.3,7,158,3,2,Recovered
56.9,4.6,156,3,3,Recovered
32.2,8.1,159,3,2,Recovered
55.8,8.3,135,4,1,Recovered
49.7,7.1,153,1,2,Recovered
48.8,7.5,125,3,1,Recovered
64.4,8.2,138,3,2,Recovered
96.5,7.3,167,4,2,Recovered
52,5.3,130,3,3,Recovered
17,7,142,3,3,Recovered
64.7,7.2,120,3,2,Recovered
72.5,6.4,159,3,2,Recovered
62.7,7.6,146,3,2,Recovered
34.3,8.5,154,2,1,Recovered
77.7,8.4,140,3,2,Recovered
100,6.4,134,2,2,Recovered
65.9,5.1,138,3,4,Recovered
64.7,8.6,122,3,1,Recovered
71.1,8,134,2,2,Recovered
21,5,160,3,4,Recovered
78.8,8.5,137,2,2,Recovered
54.3,8.1,169,3,2,Recovered
27.7,6.8,145,3,2,Recovered
69.5,7,135,3,2,Recovered
64.8,6.3,158,2,3,Recovered
79.6,4.7,120,3,4,Recovered
30.1,6,163,2,3,Recovered
43,7.9,169,3,2,Recovered
33.4,4.8,149,2,4,Recovered
57.4,5.9,156,4,3,Recovered
49.2,6.4,169,3,2,Recovered
57.8,6.8,123,2,4,Recovered
34,8.5,156,2,1,Recovered
43.3,6.1,169,2,2,Recovered
31.6,6.1,155,3,3,Recovered
66.9,7.6,152,3,2,Recovered
49.8,6.5,131,3,2,Recovered
100,5.6,123,3,3,Recovered
27.1,6.5,139,2,2,Recovered
42.9,5.2,165,3,4,Recovered
88.4,5.5,152,3,3,Recovered
40.5,6.5,167,3,4,Recovered
83.1,6.5,169,2,2,Recovered
64.6,8.5,144,1,1,Recovered
54.5,6.2,137,3,1,Recovered
41.1,7.1,162,1,2,Recovered
46.8,7.1,143,3,3,Recovered
62.1,4.7,146,4,4,Overtrained
30,7.3,151,3,2,Recovered
58.7,5.2,164,3,4,Recovered
43,8.4,142,4,2,Recovered
54.5,5.1,146,3,4,Recovered
59.3,6.4,136,3,3,Recovered
62,5,155,3,3,Recovered
70.6,8.7,148,3,2,Recovered
56,6.7,140,3,3,Recovered
72.1,7.1,144,3,2,Recovered
50.3,4.8,159,4,4,Overtrained
62.2,7.7,127,2,3,Recovered
72.5,5.5,124,2,3,Recovered
45.1,8.4,137,3,2,Recovered
58.6,5.4,157,3,3,Recovered
77.5,5.4,126,4,4,Overtrained
70.4,4.6,133,3,4,Recovered
51.7,6.5,131,3,3,Recovered
48.4,7,149,3,2,Recovered
48,4.8,134,4,4,Overtrained
51.9,7.9,164,3,2,Recovered
81.9,6.6,135,2,2,Recovered
39.7,6.8,165,1,3,Recovered
26.1,6.4,133,4,3,Recovered
60.3,6.2,166,3,3,Recovered
57.8,6.9,135,3,3,Recovered
26.9,5.3,169,3,3,Recovered
39.6,5.5,164,2,3,Recovered
45.3,8.1,160,3,1,Recovered
64.7,8.4,159,4,2,Recovered
55.9,6.3,133,1,3,Recovered
46.4,5.8,153,3,3,Recovered
57.7,7.1,136,3,2,Recovered
56.1,6.2,169,3,4,Recovered
38.5,4.8,137,3,4,Recovered
63.2,5.2,167,3,3,Recovered
39.7,7.6,130,2,1,Recovered
55.2,7.4,156,2,2,Recovered
32.4,4.7,150,3,4,Recovered
57.8,5.5,136,2,3,Recovered
36.3,5.4,169,4,4,Overtrained
70.8,7.4,125,2,1,Recovered
90.2,4.7,158,4,4,Overtrained
57.1,5.1,169,3,3,Recovered
56.6,7.9,134,2,2,Recovered
82,5.3,148,3,3,Recovered
57.8,7.3,169,3,3,Recovered
74.1,5.6,167,3,2,Recovered
54.8,5,138,3,4,Recovered
95.5,5.6,135,3,3,Recovered
72.6,7.6,143,3,2,Recovered
63.4,8.1,120,3,2,Recovered
57.8,8,132,3,2,Recovered
100,6.4,169,4,2,Recovered
78.3,7.5,139,4,1,Recovered
53.3,5.4,161,4,4,Overtrained
60.6,5.9,160,3,3,Recovered
38.5,8.3,169,2,2,Recovered
50.9,4.8,145,1,4,Recovered
46.3,5.1,137,2,3,Recovered
32.9,5.5,169,3,3,Recovered
42.2,4.8,169,3,3,Recovered
28.1,5.5,149,3,3,Recovered
62.9,7.1,145,2,2,Recovered
47.9,6.5,136,3,2,Recovered
37.2,8.4,132,1,1,Recovered
50.7,8,123,2,3,Recovered
48.7,5.9,165,3,4,Recovered
77.4,5.7,151,4,3,Recovered
93.6,6.2,137,4,3,Recovered
77.7,7.1,169,3,2,Recovered
97.6,5.7,152,3,4,Recovered
17,7,141,4,3,Recovered
77.2,6.3,169,3,3,Recovered
32.6,6.9,121,3,3,Recovered
44.1,6.5,140,4,2,Recovered
62.6,5.7,131,3,4,Recovered
60.1,8.3,138,4,2,Recovered
42.6,7.8,146,3,3,Recovered
64.2,5.4,144,3,3,Recovered
64.6,8,144,4,2,Recovered
58.3,6.7,146,2,1,Recovered
19.6,8.2,122,3,2,Recovered
57.8,7.8,139,3,2,Recovered
45,6.3,167,3,3,Recovered
100,4.8,131,3,3,Recovered
68.5,5.8,126,2,3,Recovered
99,6.9,156,3,3,Recovered
59.3,7.1,128,3,3,Recovered
34,5.7,164,2,2,Recovered
81.6,5.3,143,3,3,Recovered
69,8.1,142,2,2,Recovered
69.9,8.6,128,2,1,Recovered
99.4,6.7,169,4,4,Overtrained
67.8,5.4,165,2,3,Recovered
93.8,5.9,160,2,3,Recovered
71.6,4.6,169,3,5,Recovered
53.4,8.3,139,3,3,Recovered
54.9,5.2,160,3,3,Recovered
56.2,7,130,3,2,Recovered
68.7,5.7,167,3,3,Recovered
62.1,7,140,2,2,Recovered
42.5,7.2,142,3,3,Recovered
57.8,7.9,120,3,2,Recovered
62.4,5.4,132,4,4,Overtrained
75,4.6,122,4,5,Overtrained
72.3,5.3,151,2,3,Recovered
51.5,8.3,152,2,2,Recovered
64.8,8.3,127,1,1,Recovered
20.6,7.1,135,3,1,Recovered
57.2,7.1,164,2,3,Recovered
69.4,7.3,139,2,2,Recovered
64.1,5.4,156,3,3,Recovered
79.1,8.4,169,3,2,Recovered
82.7,6.3,163,4,3,Recovered
95.8,6.1,132,3,4,Recovered
92.9,6.7,140,4,3,Recovered
54.9,4.9,161,2,3,Recovered
23.3,5.5,135,3,3,Recovered
48.3,7.6,153,3,2,Recovered
56.1,5.1,133,2,3,Recovered
66.2,7.1,137,3,2,Recovered
34.1,5.6,131,2,3,Recovered
75,6.3,144,3,3,Recovered
72.7,5.9,158,3,3,Recovered
92.1,6.1,167,2,3,Recovered
52.8,7.6,129,2,2,Recovered
55.6,5.7,136,4,3,Recovered
80.8,7.1,149,1,2,Recovered
35.3,6.4,150,4,4,Overtrained
62.9,7.2,135,3,3,Recovered
41.1,8.4,145,2,2,Recovered
100,7.5,169,2,3,Recovered
51.4,5.5,144,4,3,Recovered
52.9,4.7,149,3,3,Recovered
17.6,5.5,129,3,4,Recovered
41.8,6.9,125,3,3,Recovered
52.9,4.7,154,3,4,Recovered
97.6,6.6,150,4,3,Recovered
69.1,7.1,168,3,3,Recovered
65.4,6,150,2,3,Recovered
39.9,7.9,128,2,2,Recovered
70.9,5.1,133,3,4,Recovered
56.1,4.9,157,3,4,Recovered
57.4,7.6,169,2,2,Recovered
71.6,6.7,146,2,2,Recovered
56.4,7.4,163,4,2,Recovered
61.9,6.4,165,2,2,Recovered
40.1,5.8,152,2,2,Recovered
61.9,8,151,3,2,Recovered
53.1,7.9,157,2,3,Recovered
52.3,7.4,148,2,2,Recovered
44.6,5.7,130,4,3,Recovered
70.9,7.2,159,3,2,Recovered
69.5,6.1,161,2,3,Recovered
76.9,5.2,136,1,3,Recovered
56.6,8.4,146,3,2,Recovered
20.2,5.3,139,2,2,Recovered
53.4,8.5,151,3,1,Recovered
49.4,6.6,135,2,2,Recovered
51.1,5.3,155,3,4,Recovered
80.9,6.8,141,2,2,Recovered
84.6,8.1,141,4,1,Recovered
67.3,7.5,151,3,3,Recovered
47.6,7.7,140,3,3,Recovered
32,7.2,141,3,2,Recovered
72.1,7.3,161,3,2,Recovered
60.3,8.2,145,2,1,Recovered
61,5.5,137,4,4,Overtrained
76.5,6.7,161,3,2,Recovered
75.4,5.5,169,3,4,Recovered
89,8.7,145,3,1,Recovered
43.3,8.5,122,3,1,Recovered
63.5,4.7,146,3,4,Recovered
39.7,7.3,169,4,3,Recovered
28.3,8.5,139,3,1,Recovered
49.5,5.4,169,3,4,Recovered
60,7,164,2,1,Recovered
46.7,8.4,168,4,2,Recovered
45.7,4.7,132,3,4,Recovered
100,7.4,169,3,3,Recovered
66.7,5.9,163,3,3,Recovered
100,8.4,137,3,2,Recovered
56.9,8.5,140,2,1,Recovered
65.9,8.6,168,3,1,Recovered
45.3,6.7,169,2,3,Recovered
73.2,8.1,160,3,2,Recovered
87.3,8,138,3,3,Recovered
46.4,6.1,120,2,2,Recovered
31.9,7.9,157,3,2,Recovered
46.4,4.7,154,4,5,Overtrained
32.4,7.1,159,3,3,Recovered
46.2,5.6,163,4,3,Recovered
38.1,5.2,131,3,3,Recovered
46.5,5,132,3,3,Recovered
57.8,7.6,132,2,2,Recovered
20.9,6,140,3,3,Recovered
54.7,7.5,160,2,3,Recovered
71.2,5,134,3,3,Recovered
65.3,6.1,138,1,2,Recovered
78.2,6.8,162,3,3,Recovered
26.1,7.8,127,4,2,Recovered
54,6.1,131,2,3,Recovered
38,7.3,131,1,2,Recovered
66.2,8.3,138,3,1,Recovered
52.3,7.1,162,4,3,Recovered
61.3,5.4,123,3,3,Recovered
62.5,4.7,143,3,4,Recovered
48.3,8.2,152,3,2,Recovered
61.2,4.8,156,2,3,Recovered
63,8.1,157,4,2,Recovered
29,6.7,133,4,4,Overtrained
64.9,8.4,169,3,2,Recovered
51.9,8,149,2,2,Recovered
38.9,8.7,120,2,2,Recovered
64.2,6.2,141,1,3,Recovered
42,7.7,132,3,2,Recovered
69.3,6.3,140,2,2,Recovered
64.1,6.6,139,3,3,Recovered
98.3,7,128,5,3,Recovered
41.7,8.1,169,3,2,Recovered
63.9,8.7,153,2,2,Recovered
54.5,7.8,168,3,2,Recovered
33.5,6.4,131,2,2,Recovered
60.7,6.3,126,3,3,Recovered
69.2,7.8,139,3,2,Recovered
47.1,5.8,142,2,3,Recovered
51.4,5.2,124,1,3,Recovered
95.9,6,133,4,3,Recovered
60.6,5.7,135,4,4,Overtrained
44.2,5.9,137,3,3,Recovered
98.7,5.5,167,4,2,Recovered
45.1,4.7,133,3,4,Recovered
77.5,4.8,169,3,4,Recovered
86,8.6,158,3,2,Recovered
71.7,6.4,169,4,2,Recovered
53,6.3,165,2,2,Recovered
36.9,7.3,139,2,2,Recovered
67,5.5,164,3,2,Recovered
72.1,8.6,127,3,1,Recovered
84.5,7.7,152,3,2,Recovered
28,5.1,162,4,3,Recovered
56.7,6.3,164,2,3,Recovered
60.9,8.2,157,3,2,Recovered
50.5,8.5,169,2,3,Recovered
64,6.4,166,4,2,Recovered
38.5,7.3,120,3,3,Recovered
45.9,5.4,148,2,4,Recovered
51.4,8.8,143,3,1,Recovered
47.7,5.6,133,3,3,Recovered
35.6,8.4,153,3,2,Recovered
49,7.3,155,2,2,Recovered
82.2,7.1,169,2,3,Recovered
47.2,6.8,136,2,3,Recovered
50.5,5.7,141,2,3,Recovered
27.7,5.3,124,3,3,Recovered
35.9,5.5,141,3,3,Recovered
84,5.3,169,4,3,Recovered
49.2,7.7,153,2,3,Recovered
41.1,6.1,130,3,2,Recovered
27.9,5,135,2,3,Recovered
59.9,8.7,136,2,1,Recovered
71.4,8.2,130,3,1,Recovered
47.6,8.3,145,4,2,Recovered
100,8.8,161,3,1,Recovered
41.1,5.3,165,4,3,Recovered
41.4,6.2,158,3,3,Recovered
42.2,7.6,141,3,3,Recovered
47.2,7.6,149,1,1,Recovered
69.4,5.3,126,2,2,Recovered
61.6,7.8,135,5,2,Recovered
54,5.5,133,3,4,Recovered
34.7,5.4,165,3,4,Recovered
100,6.7,140,2,3,Recovered
40.9,7.1,146,2,2,Recovered
59.3,6.9,155,4,2,Recovered
71.7,5.1,169,3,4,Recovered
89.3,8.1,158,3,2,Recovered
92.1,5.9,132,2,2,Recovered
37,5.1,148,3,4,Recovered
56.9,8.2,144,4,1,Recovered
62.1,8.5,133,1,2,Recovered
44,8,134,2,2,Recovered
54.7,8,142,2,1,Recovered
24.6,7.2,162,3,3,Recovered
42.5,6.8,135,4,3,Recovered
43.2,5.1,158,2,4,Recovered
52.9,6.3,168,2,2,Recovered
60.5,6.1,155,4,3,Recovered
67.9,5.8,164,3,3,Recovered
77.7,7.4,169,4,2,Recovered
69.4,6.6,129,3,3,Recovered
53,5.1,130,3,4,Recovered
22.8,5.6,155,3,3,Recovered
56.1,7.3,134,3,3,Recovered
56.6,5,169,2,3,Recovered
56.8,8,162,3,3,Recovered
60.6,6.5,168,3,3,Recovered
66.5,6.6,160,2,3,Recovered
48.9,7,133,2,2,Recovered
64.7,7.9,157,3,1,Recovered
66.1,6.1,157,3,3,Recovered
70.2,7.3,141,3,1,Recovered
78.1,7,135,2,2,Recovered
44.5,5.8,132,2,3,Recovered
27.1,8.1,153,2,2,Recovered
59.7,7.8,139,3,3,Recovered
69.2,7.3,148,3,3,Recovered
37.5,8.1,139,4,1,Recovered
100,8.2,169,3,2,Recovered
79.4,7.3,121,3,3,Recovered
39.5,7.9,146,3,1,Recovered
60.7,7.6,169,3,1,Recovered
58.3,7.3,148,4,2,Recovered
55.6,7.1,120,2,2,Recovered
91.1,7.8,142,1,2,Recovered
75.1,5.2,162,4,3,Recovered
59.7,8.3,129,2,1,Recovered
63.5,8.2,153,2,2,Recovered
45.1,4.7,131,3,4,Recovered
48.1,8,152,2,2,Recovered
72.2,5,147,4,4,Overtrained
30.7,6,132,3,3,Recovered
19.9,7.8,139,3,2,Recovered
70.7,5.3,155,2,3,Recovered
100,8,152,3,1,Recovered
64.4,7.9,169,2,2,Recovered
28.1,6.7,167,3,3,Recovered
37.6,4.8,145,2,3,Recovered
72.7,5.7,158,3,4,Recovered
25,7.1,132,3,2,Recovered
60.6,8.6,131,2,2,Recovered
51,7.3,120,3,2,Recovered
71.5,5.5,127,3,4,Recovered
73.3,7.3,134,2,1,Recovered
61.3,6.9,130,2,2,Recovered
61.6,7.9,147,2,1,Recovered
32.2,5,120,3,4,Recovered
55.1,7.7,161,4,3,Recovered
53.5,6.7,146,3,3,Recovered
66.4,8.4,139,4,1,Recovered
38.4,6.1,134,4,4,Overtrained
58.8,7.1,146,4,3,Recovered
51.7,8.2,169,4,2,Recovered
78,4.9,169,4,4,Overtrained
55.4,8.2,153,4,2,Recovered
40.9,7.5,141,2,2,Recovered
59.6,5,158,3,3,Recovered
74.7,5.8,160,4,3,Recovered
40.2,7.4,155,3,2,Recovered
48.5,5,169,1,3,Recovered
51.9,6.9,121,3,2,Recovered
64.2,6.2,168,2,3,Recovered
49.4,7.2,154,3,3,Recovered
95.3,4.9,120,4,4,Overtrained
38.8,8.3,169,2,2,Recovered
73.5,8.6,129,3,2,Recovered
61.6,8.4,164,3,2,Recovered
32.1,7.7,127,3,2,Recovered
